r1:{min=20, max=26}, r2:{min=20, max=26}, r:{min:20, max:26}
r1:{min=20, max=26}, r2:{min=20, max=26}, r:{min:20, max:26}
r1:{min=25, max=27}, r2:{min=20, max=26}, r:{min:25, max:26}
r1:{min=34, max=45}, r2:{min=35, max=44}, r:{min:35, max:44}
r1:{min=20, max=24}, r2:{min=20, max=26}, r:{min:20, max:24}
r1:{min=17, max=17}, r2:{min=16, max=17}, r:{min:17, max:17}
r1:{min=19, max=31}, r2:{min=20, max=31}, r:{min:20, max:31}
r1:{min=19, max=31}, r2:{min=20, max=31}, r:{min:20, max:31}
r1:{min=19, max=31}, r2:{min=20, max=31}, r:{min:20, max:31}
r1:{min=20, max=31}, r2:{min=15, max=31}, r:{min:20, max:31}
r1:{min=20, max=31}, r2:{min=15, max=31}, r:{min:20, max:31}
r1:{min=20, max=31}, r2:{min=15, max=31}, r:{min:20, max:31}
r1:{min=20, max=24}, r2:{min=20, max=26}, r:{min:20, max:24}
r1:{min=4, max=13}, r2:{min=5, max=12}, r:{min:5, max:12}
r1:{min=19, max=27}, r2:{min=20, max=26}, r:{min:20, max:26}
r1:{min=19, max=27}, r2:{min=20, max=26}, r:{min:20, max:26}
r1:{min=19, max=27}, r2:{min=20, max=26}, r:{min:20, max:26}
r1:{min=19, max=27}, r2:{min=20, max=26}, r:{min:20, max:26}
r1:{min=19, max=27}, r2:{min=20, max=26}, r:{min:20, max:26}
r1:{min=19, max=27}, r2:{min=20, max=26}, r:{min:20, max:26}
r1:{min=20, max=26}, r2:{min=20, max=26}, r:{min:20, max:26}
r1:{min=20, max=26}, r2:{min=20, max=26}, r:{min:20, max:26}
r1:{min=20, max=26}, r2:{min=20, max=26}, r:{min:20, max:26}
r1:{min=20, max=26}, r2:{min=20, max=26}, r:{min:20, max:26}
r1:{min=20, max=26}, r2:{min=20, max=26}, r:{min:20, max:26}
r1:{min=20, max=26}, r2:{min=20, max=26}, r:{min:20, max:26}
r1:{min=25, max=27}, r2:{min=20, max=26}, r:{min:25, max:26}
r1:{min=34, max=45}, r2:{min=35, max=44}, r:{min:35, max:44}
r1:{min=20, max=24}, r2:{min=20, max=26}, r:{min:20, max:24}
r1:{min=17, max=17}, r2:{min=16, max=17}, r:{min:17, max:17}
r1:{min=19, max=31}, r2:{min=20, max=31}, r:{min:20, max:31}
r1:{min=19, max=31}, r2:{min=20, max=31}, r:{min:20, max:31}
r1:{min=19, max=31}, r2:{min=20, max=31}, r:{min:20, max:31}
r1:{min=20, max=31}, r2:{min=15, max=31}, r:{min:20, max:31}
r1:{min=20, max=31}, r2:{min=15, max=31}, r:{min:20, max:31}
r1:{min=20, max=31}, r2:{min=15, max=31}, r:{min:20, max:31}
r1:{min=20, max=24}, r2:{min=20, max=26}, r:{min:20, max:24}
r1:{min=4, max=13}, r2:{min=5, max=12}, r:{min:5, max:12}
r1:{min=19, max=27}, r2:{min=20, max=26}, r:{min:20, max:26}
r1:{min=19, max=27}, r2:{min=20, max=26}, r:{min:20, max:26}
r1:{min=19, max=27}, r2:{min=20, max=26}, r:{min:20, max:26}
r1:{min=19, max=27}, r2:{min=20, max=26}, r:{min:20, max:26}
r1:{min=19, max=27}, r2:{min=20, max=26}, r:{min:20, max:26}
r1:{min=19, max=27}, r2:{min=20, max=26}, r:{min:20, max:26}
r1:{min=20, max=26}, r2:{min=20, max=26}, r:{min:20, max:26}
r1:{min=20, max=26}, r2:{min=20, max=26}, r:{min:20, max:26}
r1:{min=20, max=26}, r2:{min=20, max=26}, r:{min:20, max:26}
r1:{min=20, max=26}, r2:{min=20, max=26}, r:{min:20, max:26}
r1:{min=20, max=26}, r2:{min=20, max=26}, r:{min:20, max:26}
r1:{min=20, max=26}, r2:{min=20, max=26}, r:{min:20, max:26}
r1:{min=25, max=27}, r2:{min=20, max=26}, r:{min:25, max:26}
r1:{min=34, max=45}, r2:{min=35, max=44}, r:{min:35, max:44}
r1:{min=43, max=45}, r2:{min=33, max=44}, r:{min:43, max:44}
r1:{min=43, max=45}, r2:{min=33, max=44}, r:{min:43, max:44}
r1:{min=43, max=45}, r2:{min=33, max=44}, r:{min:43, max:44}
r1:{min=14, max=16}, r2:{min=15, max=18}, r:{min:15, max:16}
r1:{min=14, max=16}, r2:{min=15, max=18}, r:{min:15, max:16}
r1:{min=14, max=16}, r2:{min=15, max=18}, r:{min:15, max:16}
r1:{min=7, max=8}, r2:{min=5, max=12}, r:{min:7, max:8}
r1:{min=7, max=8}, r2:{min=5, max=12}, r:{min:7, max:8}
r1:{min=7, max=8}, r2:{min=5, max=12}, r:{min:7, max:8}
r1:{min=7, max=8}, r2:{min=5, max=12}, r:{min:7, max:8}
r1:{min=7, max=8}, r2:{min=5, max=12}, r:{min:7, max:8}
r1:{min=7, max=8}, r2:{min=5, max=12}, r:{min:7, max:8}
r1:{min=7, max=8}, r2:{min=5, max=12}, r:{min:7, max:8}
r1:{min=7, max=8}, r2:{min=5, max=12}, r:{min:7, max:8}
r1:{min=7, max=8}, r2:{min=5, max=12}, r:{min:7, max:8}
r1:{min=7, max=8}, r2:{min=5, max=12}, r:{min:7, max:8}
r1:{min=7, max=8}, r2:{min=5, max=12}, r:{min:7, max:8}
r1:{min=7, max=8}, r2:{min=5, max=12}, r:{min:7, max:8}
r1:{min=7, max=8}, r2:{min=5, max=12}, r:{min:7, max:8}
r1:{min=7, max=8}, r2:{min=5, max=12}, r:{min:7, max:8}
r1:{min=7, max=8}, r2:{min=5, max=12}, r:{min:7, max:8}
r1:{min=7, max=8}, r2:{min=5, max=12}, r:{min:7, max:8}
r1:{min=7, max=8}, r2:{min=5, max=12}, r:{min:7, max:8}
r1:{min=7, max=8}, r2:{min=5, max=12}, r:{min:7, max:8}
r1:{min=14, max=16}, r2:{min=9, max=15}, r:{min:14, max:15}
r1:{min=4, max=6}, r2:{min=5, max=12}, r:{min:5, max:6}
r1:{min=5, max=6}, r2:{min=1, max=6}, r:{min:5, max:6}
r1:{min=5, max=7}, r2:{min=5, max=12}, r:{min:5, max:7}
r1:{min=5, max=7}, r2:{min=5, max=12}, r:{min:5, max:7}
r1:{min=5, max=7}, r2:{min=6, max=11}, r:{min:6, max:7}
r1:{min=5, max=7}, r2:{min=6, max=11}, r:{min:6, max:7}
r1:{min=11, max=13}, r2:{min=5, max=12}, r:{min:11, max:12}
r1:{min=19, max=21}, r2:{min=20, max=26}, r:{min:20, max:21}
r1:{min=42, max=45}, r2:{min=33, max=44}, r:{min:42, max:44}
r1:{min=42, max=45}, r2:{min=33, max=44}, r:{min:42, max:44}
r1:{min=42, max=45}, r2:{min=33, max=44}, r:{min:42, max:44}
r1:{min=14, max=17}, r2:{min=15, max=18}, r:{min:15, max:17}
r1:{min=14, max=17}, r2:{min=15, max=18}, r:{min:15, max:17}
r1:{min=14, max=17}, r2:{min=15, max=18}, r:{min:15, max:17}
r1:{min=7, max=9}, r2:{min=5, max=12}, r:{min:7, max:9}
r1:{min=7, max=9}, r2:{min=5, max=12}, r:{min:7, max:9}
r1:{min=7, max=9}, r2:{min=5, max=12}, r:{min:7, max:9}
r1:{min=7, max=9}, r2:{min=5, max=12}, r:{min:7, max:9}
r1:{min=7, max=9}, r2:{min=5, max=12}, r:{min:7, max:9}
